phone_no,customer_segment,gender,number_of_children,income,marital_status,owns_vehicle,age_of_vehicle,vehicle_type,value_of_vehicle,accomodation_status_rented_own,owns_house,age_of_house,value_of_house,occupation,credit_score,customer_transactions_using_mobile_banking,customer_transactions_using_internet_banking,customer_transactions_using_mobile_wallet,length_of_the_customer’s_relationship_with_the_bank,educational_status,home_city_or_province,age,employed_or_business,address_type_permanent_temporary,date_of_card_issue,spending_on_credit_card_in_jan,spending_on_credit_card_in_feb,spending_on_credit_card_in_mar,spending_on_credit_card_in_apr,spending_on_credit_card_in_may,spending_on_credit_card_in_june,spending_on_credit_card_in_july,spending_on_credit_card_in_aug,spending_on_credit_card_in_sep,spending_on_credit_card_in_oct,spending_on_credit_card_in_nov,spending_on_credit_card_in_dec,transactions_jan,transactions_feb,transactions_mar,transactions_apr,transactions_may,transactions_june,transactions_july,transactions_aug,transactions_sep,transactions_oct,transactions_nov,transactions_dec,max_transaction_amount,category_of_max_number_of_transaction,category_of_max_spend_amount,atm_transaction_amount_yearly,no_of_atm_transaction_yearly,account_id
286-412-9215,silver,male,5,75378.46,married,yes,12.0,bike,763145.0,rented,no,,,farmer,472,21,63,11,2,High school,Nīca,36,employed,temporary,3/28/2019,36974.0,16394.0,40600.0,47039.0,44708.0,86541.0,34892.0,43267.0,55094.0,,60531.0,59934.0,8,2,9,9,3,5,7,5,3,7,2,1,27568,hospital,food,3454671,85,100000000043
208-306-1129,gold,male,0,50242.11,unmarried,yes,10.0,bike,668068.0,rented,no,,,driver,746,44,60,48,9,Degree,Oromocto,41,employed,permanent,6/14/2019,41238.0,22622.0,94781.0,24047.0,63357.0,48020.0,23203.0,45147.0,32391.0,37640.0,62615.0,64184.0,5,7,2,5,6,3,9,7,9,7,8,10,29183,tech,food,1230539,63,100000000044
919-576-0822,gold,male,5,89468.4,unmarried,no,,bike,,own,yes,11.0,85764696.0,farmer,680,26,2,30,8,High school,Saubara,29,employed,permanent,3/15/2019,67415.0,67243.0,,14535.0,94554.0,10426.0,33333.0,52501.0,94836.0,63377.0,,80611.0,8,6,3,2,5,1,9,5,5,9,8,5,26280,tech,others,5339206,16,100000000045
320-493-6820,silver,female,4,17932.24,unmarried,no,,car,,rented,no,,,driver,491,83,48,99,9,High school,Wuyang,46,business,permanent,3/12/2019,84707.0,43167.0,60292.0,80802.0,52639.0,47537.0,82617.0,56819.0,65182.0,39903.0,51896.0,53618.0,7,8,10,5,1,9,8,2,2,10,2,4,26518,hospital,leisure,8956353,2,100000000046
921-208-2695,gold,male,3,13591.31,unmarried,yes,12.0,bike,519187.0,rented,no,,,shop_owner,848,33,46,89,12,High school,Changzhi,41,business,temporary,6/21/2019,23153.0,19629.0,89393.0,28369.0,38283.0,82273.0,27977.0,36382.0,,60024.0,45898.0,,9,6,1,5,5,8,5,9,8,9,4,5,22771,leisure,tech,4484220,8,100000000047
692-694-1894,silver,male,0,51249.69,married,no,,car,,rented,no,,,engineer,301,39,69,73,8,Degree,Ping’an,59,employed,temporary,4/2/2019,99815.0,64092.0,34741.0,97394.0,29670.0,29290.0,30549.0,38441.0,49626.0,58642.0,95914.0,41218.0,1,5,3,9,7,5,5,9,1,2,10,8,24031,travel,hobby,2632643,16,100000000048
392-255-9570,silver,male,3,38012.2,married,yes,10.0,car,860576.0,rented,no,,,engineer,767,49,90,45,12,Degree,Basco,29,employed,temporary,5/31/2019,12096.0,17288.0,87621.0,38794.0,11490.0,,58911.0,95390.0,21406.0,,61138.0,29950.0,7,9,9,2,6,5,5,4,7,1,1,7,29297,leisure,others,1542318,83,100000000049
170-495-5974,gold,male,1,85278.6,unmarried,yes,11.0,car,772673.0,rented,no,,,doctor,510,88,17,83,15,Degree,Tianjin,37,employed,temporary,6/3/2019,37119.0,31838.0,,82012.0,47995.0,18347.0,46525.0,52488.0,89263.0,12777.0,24660.0,,4,9,6,6,2,3,2,2,1,1,2,10,23321,leisure,leisure,3444531,31,100000000050
250-389-8875,gold,female,1,60457.66,unmarried,yes,5.0,bike,986698.0,own,yes,9.0,13756396.0,nurse,513,73,72,83,13,High school,Wanhu,54,employed,permanent,4/18/2019,86134.0,54876.0,35619.0,,30645.0,55012.0,25004.0,54983.0,,36748.0,,30401.0,2,4,9,3,4,4,2,5,9,8,7,5,25272,travel,tech,3079774,99,100000000051
988-750-6106,silver,male,5,80535.02,unmarried,yes,4.0,car,844530.0,own,yes,9.0,87666001.0,nurse,663,79,25,32,9,High school,Kangar,40,employed,permanent,3/31/2019,16687.0,39586.0,96045.0,93376.0,85535.0,42369.0,91025.0,55827.0,93069.0,62533.0,25870.0,94635.0,7,4,3,7,5,8,6,10,7,2,1,2,27336,hobby,leisure,5047113,24,100000000052
422-370-3509,gold,female,0,70195.38,unmarried,no,,car,,own,yes,3.0,75115966.0,engineer,724,81,91,93,13,Degree,Trelleborg,43,employed,temporary,5/18/2019,43148.0,,96482.0,87856.0,17597.0,17102.0,,35340.0,33772.0,40994.0,97736.0,54527.0,6,6,8,3,1,2,10,10,4,10,4,5,23609,hospital,others,547591,80,100000000053
958-209-7678,gold,female,4,33783.19,unmarried,no,,car,,rented,no,,,teacher,424,78,92,80,2,Degree,Palma De Mallorca,47,business,temporary,5/14/2019,47894.0,14403.0,55605.0,16298.0,32959.0,31284.0,47102.0,33185.0,92972.0,47483.0,90167.0,37931.0,9,9,2,3,3,9,6,7,6,2,1,7,24186,tech,food,9500362,41,100000000054
851-639-2606,gold,male,4,11090.3,unmarried,yes,12.0,car,432179.0,own,yes,12.0,79984403.0,farmer,537,51,72,88,9,High school,Noda,32,employed,permanent,5/3/2019,,88175.0,16709.0,11755.0,42489.0,56700.0,,15675.0,17804.0,50324.0,85519.0,51780.0,8,1,7,6,1,9,5,7,8,5,7,7,20141,hospital,tech,7062834,81,100000000055
691-271-3764,gold,female,2,14600.15,unmarried,yes,1.0,car,989936.0,own,yes,2.0,30071143.0,plumber,832,73,39,38,2,High school,Cicuco,37,employed,permanent,5/8/2019,80278.0,92010.0,69600.0,39158.0,65470.0,,,30811.0,,62210.0,19886.0,95311.0,4,7,2,5,6,2,2,10,9,9,9,7,25717,food,hobby,617069,56,100000000056
803-807-8217,silver,male,4,55630.16,unmarried,yes,8.0,car,299813.0,own,yes,1.0,77595603.0,engineer,366,73,68,80,10,Degree,Izazi,34,employed,temporary,6/30/2019,14148.0,85170.0,54897.0,56805.0,44137.0,,16067.0,31285.0,45345.0,89270.0,95697.0,56097.0,1,8,3,5,9,8,5,7,10,9,8,5,20114,travel,others,7592648,39,100000000057
270-240-5048,gold,male,4,54450.54,married,no,,bike,,rented,no,,,plumber,369,69,2,10,11,Degree,Luxi,35,business,temporary,6/11/2019,24680.0,,68576.0,56757.0,91279.0,,26279.0,24725.0,32628.0,88142.0,27114.0,63699.0,8,4,7,6,10,5,6,3,8,8,6,10,26643,tech,food,7492863,13,100000000058
801-968-7381,gold,female,4,90583.71,married,yes,1.0,bike,549624.0,own,yes,19.0,41027454.0,engineer,255,74,94,70,6,Degree,Savyon,50,employed,permanent,6/22/2019,82277.0,46116.0,63588.0,88043.0,81961.0,,,30391.0,,87452.0,48708.0,44509.0,10,3,10,2,4,8,4,8,7,8,4,7,23834,hobby,tech,6859576,76,100000000059
141-280-9863,silver,female,4,96619.54,unmarried,yes,11.0,bike,822251.0,own,yes,4.0,81182904.0,teacher,457,67,57,11,4,Degree,Jesenice,32,employed,permanent,3/20/2019,96778.0,61159.0,89138.0,53577.0,15035.0,15436.0,22365.0,82499.0,80376.0,38076.0,64202.0,40758.0,3,8,1,5,8,2,4,3,2,3,1,4,28164,leisure,leisure,6853923,32,100000000060
335-386-8914,silver,female,3,41629.34,married,yes,12.0,car,146635.0,rented,no,,,firefighter,254,96,16,28,14,High school,Poyang,34,employed,temporary,3/16/2019,67384.0,39605.0,61641.0,83465.0,69769.0,21541.0,35904.0,41358.0,60717.0,14179.0,23689.0,30117.0,7,4,5,7,6,5,6,2,9,2,7,4,29610,hospital,tech,6230391,56,100000000061
677-834-0475,silver,male,3,31694.39,unmarried,no,,bike,,own,yes,13.0,29639569.0,plumber,306,8,84,85,1,High school,Thị Trấn Ngọc Lặc,54,employed,temporary,3/21/2019,90431.0,52484.0,82160.0,,19869.0,67764.0,90974.0,55959.0,26143.0,80194.0,,51491.0,5,4,8,5,1,3,9,7,5,7,8,3,24289,food,travel,2573462,87,100000000062
492-801-5576,silver,female,1,68182.91,unmarried,yes,2.0,car,499285.0,own,yes,3.0,53417755.0,technicians,658,26,11,80,3,Degree,Phanat Nikhom,46,business,permanent,6/19/2019,98417.0,80377.0,33881.0,35166.0,68116.0,88034.0,24777.0,34244.0,25090.0,37548.0,20659.0,59489.0,3,5,9,10,5,6,7,2,8,2,6,6,23091,leisure,hospital,9915816,45,100000000063
712-718-9587,silver,female,2,68526.75,unmarried,no,,bike,,rented,no,,,plumber,833,5,40,83,8,High school,Yachimata,32,business,permanent,5/23/2019,17444.0,82528.0,12728.0,18682.0,17783.0,90687.0,56593.0,84987.0,93230.0,,18513.0,18184.0,10,1,10,1,10,10,1,8,1,9,2,9,21972,tech,tech,4495802,53,100000000064
768-614-0094,gold,female,3,82606.42,married,yes,2.0,bike,620639.0,rented,no,,,pilot,641,88,44,39,8,Degree,Sundsvall,41,business,temporary,3/8/2019,45177.0,16744.0,,39345.0,92216.0,86418.0,,38965.0,15475.0,63141.0,22442.0,19452.0,3,5,6,5,6,4,9,8,5,8,9,7,26707,others,tech,7106181,38,100000000065
576-422-7818,silver,female,3,44599.66,married,no,,bike,,own,yes,13.0,24508050.0,unskilled_labour,615,75,97,9,15,High school,Igcocolo,43,business,permanent,6/22/2019,25418.0,23883.0,29113.0,,97739.0,62619.0,59393.0,,,,89116.0,63413.0,10,4,8,2,3,9,8,2,2,4,3,4,27584,travel,hospital,2998417,99,100000000066
306-663-4546,silver,female,1,33528.47,unmarried,yes,3.0,bike,904707.0,own,yes,2.0,59422606.0,technicians,837,83,14,2,10,High school,Juxing,43,business,permanent,5/22/2019,67965.0,36672.0,86324.0,48701.0,99966.0,91410.0,52042.0,46840.0,,15222.0,86955.0,36284.0,5,2,6,7,2,8,7,9,8,7,9,4,21235,leisure,hospital,9386198,10,100000000067
432-516-6359,silver,female,0,59440.45,married,yes,9.0,bike,563589.0,own,yes,9.0,97396263.0,nurse,667,36,69,67,8,High school,Tiout,48,employed,permanent,5/29/2019,66353.0,,14926.0,11328.0,13735.0,42696.0,26152.0,,56574.0,83992.0,37687.0,67990.0,5,6,1,9,3,10,3,10,10,7,4,9,28952,hospital,others,2345100,83,100000000068
178-103-7067,gold,female,3,44121.55,married,no,,bike,,rented,no,,,plumber,262,89,20,60,4,Degree,København,53,business,temporary,4/13/2019,56655.0,51503.0,65706.0,,90374.0,32370.0,50697.0,16613.0,98251.0,97709.0,66636.0,13116.0,7,1,6,8,9,2,5,4,8,10,6,2,27183,others,hobby,5042119,74,100000000069
