browser_id,time_on_site,timestamp,isp,geonetworkcity,date,totals.uniquescreenviews,totals.timeonscreen,hits.isinteraction,hits.promotionactioninfopromoisclick,totals.screenviews,trafficsourcemedium,trafficsourcerefferalpath,device.browser,device.devicecategory,device.mobiledevicebranding,device.ismobile,promo_cateogry,totalspageviews,phone_no,customer_segment,gender,number_of_children,income,marital_status,vehicle_type,owns_vehicle,accomodation_status_rented_own,owns_house,occupation,credit_score,customer_transactions_using_mobile_banking,customer_transactions_using_internet_banking,customer_transactions_using_mobile_wallet,length_of_the_customer’s_relationship_with_the_bank,educational_status,home_city_or_province,age,employed_or_business,address_type_permanent_temporary,type_of_card_held,date_of_card_issue,spending_on_credit_card_in_jan,spending_on_credit_card_in_feb,spending_on_credit_card_in_mar,spending_on_credit_card_in_apr,spending_on_credit_card_in_may,spending_on_credit_card_in_june,spending_on_credit_card_in_july,spending_on_credit_card_in_aug,spending_on_credit_card_in_sep,spending_on_credit_card_in_oct,spending_on_credit_card_in_nov,spending_on_credit_card_in_dec,transactions_jan,transactions_feb,transactions_mar,transactions_apr,transactions_may,transactions_june,transactions_july,transactions_aug,transactions_sep,transactions_oct,transactions_nov,transactions_dec,max_transaction_amount,category_of_max_number_of_transaction,category_of_max_spend_amount,atm_transaction_amount_yearly,no_of_atm_transaction_yearly,savings_accounts,current_accounts,salary_accounts,millennia_cards,credit_cards,debit_cards,prepaid_cards,forex_cards,commercial_credit_cards,fixed_deposit,non_withdrawal_deposits,home_loan,personal_loan,business_growth_loan,two_wheeler_loan,easyemi_consumer_loan,bike_loan,car_loan,educational_loan,motor_insurance,home_insurance,domestic_help_insurance,travel_insurance,medical_insurance,savings_accounts_amount,savings_accounts_interest_rate,savings_accounts_number_of_times_debited,savings_accounts_maximum_amt_debited,current_accounts_amount,current_accounts_interest_rate,current_accounts_number_of_times_debited,current_accounts_maximum_amt_debited,salary_accounts_amount,salary_accounts_interest_rate,salary_accounts_number_of_times_debited,salary_accounts_maximum_amt_debited,fd_amount,fd_interest_rate,non_withdrawl_deposit_amount,non_withdrawl_deposit_interest_rate,twl_Principal amount,twl_Loan to value of asset,twl_Date of loan disbursement,twl_Manufacturer details,twl_Dealer name,twl_Dealer location,twl_Amount paid,bike_twl_Principal amount,bike_twl_Loan to value of asset,bike_twl_Date of loan disbursement,bike_twl_Manufacturer details,bike_twl_Dealer name,bike_twl_Dealer location,bike_twl_Amount paid,car_Principal amount,car_Loan to value of asset,car_Date of loan disbursement,car_Manufacturer details,car_Dealer name,car_Dealer location,car_Amount paid,home_Principal amount,home_Loan to value of asset,home_Date of loan disbursement,home_Amount paid,personal_Principal amount,personal_Loan to value of asset,personal_Date of loan disbursement,personal_Amount paid,personal_purpose_category,business_Principal amount,business_Loan to value of asset,business_Date of loan disbursement,business_Amount paid,business_category,easyemi_Principal amount,easyemi_Loan to value of asset,easyemi_Date of loan disbursement,easyemi_Amount paid,easyemi_purpose_category,easyemi_dealer_name,easyemi_dealer_location,easyemi_product_manufacturer,edu_Principal amount,edu_Loan to value of asset,edu_Date of loan disbursement,edu_Amount paid,credit_card_Date of card issue,credit_card_Average spendings,credit_card_no_of_transactions,credit_card_max_spent_category,credit_card_max_trans_category,debit_card_Date of card issue,debit_card_Average spendings,debit_card_no_of_transactions,debit_card_max_spent_category,debit_card_max_trans_category,millennia_cards_Date of card issue,millennia_cards_Average spendings,millennia_cards_no_of_transactions,prepaid_cards_Date of card issue,prepaid_cards_Average spendings,prepaid_cards_no_of_transactions,forex_cards_Date of card issue,forex_cards_Average spendings,forex_cards_no_of_transactions,commercial_credit_cards_Date of card issue,commercial_credit_cards_Average spendings,commercial_credit_cards_no_of_transactions,travel_insurance_geographic_coverage,travel_insurance_premium_amount,travel_insurance_add_ons,travel_insurance_number_of_claims,travel_insurance_type_of_claim,travel_insurance_amount_of_claim,travel_insurance_month_of_claim,travel_insurance_number_of_adult_family_members_insured,travel_insurance_number_of_minor_family_members_insured,travel_insurance_sum_insured,home_insurance_coverage,home_insurance_premium_amount,home_insurance_add_ons,home_insurance_number_of_claims,home_insurance_type_of_claim,home_insurance_amount_of_claim,home_insurance_month_of_claim,home_insurance_type_of_property,home_insurance_sum_insured,motor_insurance_coverage,motor_insurance_premium_amount,motor_insurance_add_ons,motor_insurance_number_of_claims,motor_insurance_type_of_claim,motor_insurance_amount_of_claim,motor_insurance_month_of_claim,motor_insurance_type_of_vehicle,motor_insurance_sum_insured,domestic_help_insurance_coverage,domestic_help_insurance_premium_amount,domestic_help_insurance_add_ons,domestic_help_insurance_number_of_claims,domestic_help_insurance_type_of_claim,domestic_help_insurance_amount_of_claim,domestic_help_insurance_month_of_claim,domestic_help_insurance_sum_insured,medical_insurance_coverage,medical_insurance_premium_amount,medical_insurance_add_ons,medical_insurance_number_of_claims,medical_insurance_type_of_claim,medical_insurance_amount_of_claim,medical_insurance_month_of_claim,medical_insurance_number_of_adult_family_members_insured,medical_insurance_number_of_minor_family_members_insured,medical_insurance_sum_insured
1000107,374,0:35,comcastbusiness.net',Al Funayţīs,2020-01-30,1,92,0,0,10,Refferal,linkedin.com,opera,mobile,lenovo,error: Field 'devicedevicecategory' not found,insurance,9,961-122-7528,gold,female,3,33265.58,unmarried,bike,yes,rented,no,teacher,763,14,35,69,10,0,Lete,30,business,permanent,standard,4/17/2019,34582,10360,81500,94439,38640,68258,36628,50275,96546,82721,42458,58174,10,3,7,1,1,5,5,5,9,5,4,10,24443,tech,tech,7178117,64,0,0,0,1,1,0,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,,,,,,,,,,,,190059,3215938.0,3.5,1176529.0,4.0,,,,,,,,106070.0,84.0,9/22/2019,suzuki,"Kautzer, Pollich and Goodwin",Singkir,9983.0,67542.0,73.0,6/10/2019,hyundai,Bruen-Crist,Vadstena,2627.0,914671.0,37.0,7/18/2019,60.0,,,,,,853795.0,70.0,4/5/2019,687436.0,trade,529667.0,79.0,7/12/2019,5353.0,other electronics,Bode-Bechtelar,Wien,apple,,,,,10/3/2019,293478.0,13.0,tech,others,,,,,,2/7/2020,738379.0,50.0,,,,1/7/2020,642326.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Personal Accident cover,42540.0,Critical illness cover,4.0,type2,9224011.0,8.0,2.0,2.0,6269987.0
1000017,106,12:51,hinet.net',Sabon Gari-Nangere,2020-01-06,5,57,1,0,8,Social,facebook.com,safari,mobile,apple,error: Field 'devicedevicecategory' not found,credit_card,4,480-948-8290,silver,female,3,34229.5,married,car,yes,rented,yes,politician,378,18,74,35,14,0,Ţubarjal,59,business,permanent,gold,4/21/2019,65308,32723,96927,47101,72181,30837,67451,74062,89407,33242,39215,30058,9,8,2,1,4,3,8,2,9,10,6,8,29783,tech,others,4548444,58,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,1,7262720.0,1.0,9.0,361379.0,,,,,,,,1237103,,,,,,,,,,,,52681.0,92.0,9/5/2019,duke,Volkman Inc,Bremen,7473.0,13174.0,49.0,7/11/2019,tata,Hyatt-Terry,Kajar,5405.0,,,,,456561.0,81.0,4/15/2019,4552.0,travel,,,,,,,,,,,,,,169490.0,27.0,3/16/2019,8734.0,,,,,,3/13/2020,40013.0,61.0,leisure,food,8/27/2019,184770.0,3.0,3/11/2020,503207.0,72.0,11/11/2019,199633.0,23.0,6/22/2019,204308.0,70.0,,,,,,,,,,,Tenant Liability Coverage,911540.0,Frozen Food Coverage Guaranteed Repairs Coverage Home Assistance Coverage Household removals Coverage,5.0,Basic Deductible Coverage Open Content Coverage,1345968.0,10.0,Villa,5236690.0,,,,,,,,,,Accidental Death Coverage,51112.0,Lost Passport Coverage,1.0,type1,35933.0,7.0,433959.0,Critical illness cover,135729.0,Critical illness cover,5.0,type4,7150860.0,6.0,1.0,2.0,1794757.0
1000098,37,6:48,verizon.net',Zhuanqiang,2020-01-25,4,75,0,0,5,Paid,youtube.com,chrome,laptop,samsung,error: Field 'devicedevicecategory' not found,insurance,3,691-745-8013,silver,male,0,68975.99,unmarried,bike,yes,own,yes,unskilled_labour,799,95,10,99,7,0,Filabusi,48,business,temporary,standard,4/5/2019,51963,88517,70969,65560,93485,78961,30785,24184,37733,90516,76558,65145,3,6,2,2,6,6,5,4,1,2,6,3,24916,others,travel,3218690,79,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,,,,,4337473.0,2.5,104.0,1764813.0,,,,948697,,,,,,,,,,,,,,,,,,,59700.0,70.0,5/9/2019,honda,Dietrich Inc,ItaguaÃ­,6788.0,,,,,,,,,,,,,,,357222.0,36.0,12/28/2019,9359.0,laptops,"Kessler, Hahn and McKenzie",Makariv,motorolla,463560.0,14.0,11/10/2019,5050.0,,,,,,3/10/2020,944541.0,42.0,hobby,hobby,,,,6/15/2019,330417.0,8.0,3/27/2019,547697.0,4.0,,,,,,,,,,,,,,,,,,,,,,,Fire Coverage Limit,80289.0,Strike Coverage,4.0,type2,659506.0,11.0,Motorbike,5978793.0,Personal Accident Coverage,20012.0,Accidental Death Coverage,9.0,type5,235673.0,11.0,170815.0,,,,,,,,,,
1000305,255,13:27,att.net',Terrugem,2020-02-02,4,67,1,1,7,Direct,facebook.com,chrome,laptop,samsung,error: Field 'devicedevicecategory' not found,insurance,4,636-625-2734,gold,male,4,68803.83,married,bike,yes,own,no,firefighter,760,30,51,84,10,0,Paris 08,51,business,permanent,gold,4/30/2019,47762,40389,85152,61250,53962,92940,77850,40595,45020,55005,89349,66551,6,9,1,5,9,2,10,5,8,10,3,4,25634,tech,leisure,2520373,47,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,,,,,8394178.0,5.0,147.0,1227003.0,3699222.0,3.0,147.0,1271465,8796930.0,5.5,,,337569.0,80.0,9/14/2019,yamaha,Emard-Sawayn,Jitan,3155.0,544200.0,83.0,8/12/2019,suzuki,Hansen Inc,BÄ›lÃ¡ pod BezdÄ›zem,9902.0,19058.0,37.0,3/1/2020,honda,"Anderson, Wintheiser and Reilly",Qianshan,8598.0,543972.0,95.0,4/22/2019,51.0,687439.0,59.0,8/30/2019,7793.0,travel,614667.0,92.0,9/4/2019,863710.0,IT,,,,,,,,,169485.0,25.0,9/1/2019,3613.0,,,,,,2/29/2020,407454.0,56.0,leisure,others,12/15/2019,278459.0,70.0,1/13/2020,756293.0,92.0,2/23/2020,446630.0,1.0,,,,domestic,88446.0,Piste Closure Coverage,4.0,,3791330.0,8.0,2.0,2.0,1808640.0,Accident Coverage,260702.0,Frozen Food Coverage Guaranteed Repairs Coverage Home Assistance Coverage Household removals Coverage,4.0,Alternative Accommodation Coverage,9993203.0,10.0,Apartment,5039310.0,,,,,,,,,,Personal Accident Coverage,22116.0,Personal Accident Coverage,3.0,type3,165946.0,1.0,74010.0,,,,,,,,,,
1000262,40,15:14,cox.net',Jiangxiangzhen,2020-01-12,3,2,0,0,6,Refferal,youtube.com,chromium,tablet,lenovo,error: Field 'devicedevicecategory' not found,insurance,4,851-962-3643,silver,male,0,67158.08,unmarried,car,yes,rented,no,engineer,330,61,36,19,12,1,Quimilí,45,employed,permanent,gold,6/10/2019,75019,48794,32216,72764,36267,56024,95512,15818,63211,77576,39557,73428,10,10,4,9,7,5,8,1,1,3,4,4,23597,travel,tech,7200654,98,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,6150067.0,1.0,62.0,789144.0,7242881.0,4.5,104.0,1311663.0,,,,1755160,,,1775309.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,207607.0,56.0,12/25/2019,4378.0,electronics,,,,,,80800.0,59.0,1/3/2020,6628.0,other electronics,Nolan Group,Daying,motorolla,632958.0,38.0,12/18/2019,7629.0,3/15/2020,681205.0,92.0,hobby,travel,6/28/2019,771951.0,96.0,food,others,,,,8/27/2019,207474.0,21.0,3/4/2020,177602.0,91.0,6/2/2019,771188.0,91.0,,,,,,,,,,,,,,,,,,,,Fire Coverage Limit,66225.0,Third Party Property Damage Coverage,1.0,type4,461667.0,2.0,Car,7219849.0,,,,,,,,,,,,,,,,,,
1000158,457,23:24,comcast.net',Moscavide,2020-01-01,1,98,1,1,6,Display,facebook.com,brave,mobile,micromax,error: Field 'devicedevicecategory' not found,deposits,10,562-739-5406,silver,female,2,30545.26,married,car,yes,rented,no,doctor,382,35,87,77,4,1,Chuanpu,27,employed,temporary,gold,6/20/2019,35672,40394,46550,55062,24294,20201,77770,60386,35677,63113,52498,79842,8,8,7,1,7,9,5,8,7,3,10,3,21237,hospital,hospital,3323654,41,0,0,1,0,1,0,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,0,0,1,,,,,,,,,7778889.0,1.0,108.0,328468,,,6801050.0,4.5,721660.0,12.0,12/7/2019,suzuki,Sawayn and Sons,Karaundi,3930.0,640679.0,33.0,9/16/2019,duke,Flatley-Beatty,Nong Muang,3150.0,38552.0,23.0,5/1/2019,maruti,"Swaniawski, Harris and Hagenes",Isulan,993.0,,,,,,,,,,414201.0,52.0,8/31/2019,724190.0,trade,,,,,,,,,,,,,10/13/2019,243937.0,21.0,food,others,,,,,,,,,10/28/2019,850348.0,18.0,2/22/2020,207273.0,86.0,4/2/2019,619199.0,83.0,,,,,,,,,,,Alternative Accommodation Coverage,143595.0,Building Damage Coverage,5.0,Ancillary Deductible Coverage,6361533.0,2.0,Apartment,5279980.0,Accidental Death Coverage Child Seat Replacement Coverage,48811.0,Fire Coverage,4.0,type5,641399.0,5.0,Car,8668319.0,,,,,,,,,Maternity Cover,104828.0,Personal Accident cover,3.0,type5,8441614.0,9.0,3.0,1.0,7548024.0
1000244,161,7:47,cox.net',Kulykiv,2020-01-15,5,98,1,1,5,Social,facebook.com,brave,tablet,samsung,error: Field 'devicedevicecategory' not found,accounts,9,433-182-0919,gold,female,2,98952.51,married,car,yes,rented,yes,plumber,509,48,79,63,5,1,Itabaiana,51,employed,temporary,gold,3/18/2019,52935,24581,65874,12466,48892,14172,54875,92521,61994,54743,50498,32354,3,6,6,4,4,8,1,7,3,8,5,8,29976,others,travel,1307426,57,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,1,7989617.0,5.0,169.0,479177.0,,,,,4565966.0,0.5,22.0,1732783,610421.0,1.0,,,,,,,,,,927093.0,55.0,1/3/2020,suzuki,"Effertz, Hessel and Walker",Jaunpiebalga,2954.0,68397.0,83.0,6/19/2019,maruti,Schneider-Hane,Baclayon,410.0,,,,,,,,,,349644.0,21.0,5/30/2019,385525.0,IT,243739.0,75.0,5/10/2019,3468.0,other electronics,Gislason-Metz,Enskede,motorolla,853191.0,40.0,8/3/2019,2075.0,10/17/2019,636248.0,74.0,leisure,others,,,,,,10/8/2019,475066.0,83.0,,,,,,,10/5/2019,314716.0,84.0,,,,,,,,,,,Accident Coverage,617610.0,,3.0,Legal Expense Coverage Living Away Coverage,3596638.0,12.0,Apartment,2760766.0,Permanent Partial Disability Coverage,74195.0,Life Coverage PassengersFull Loss Damage Coverage,2.0,type1,330387.0,6.0,Car,9382905.0,,,,,,,,,Maternity Cover,60342.0,Hospital cash,7.0,type3,9144082.0,3.0,3.0,1.0,9972011.0
1000207,559,8:56,att.net',Laon,2020-02-04,3,85,1,0,8,Display,google.com,opera,tablet,micromax,error: Field 'devicedevicecategory' not found,loan,10,979-989-7515,gold,male,5,60455.12,married,bike,no,own,no,farmer,385,28,27,81,7,0,Mushie,42,employed,permanent,standard,3/31/2019,84692,99594,44834,79594,36469,31518,28930,53852,55345,76532,61224,31565,3,9,5,7,9,5,3,8,1,1,2,6,23542,hospital,hospital,4934458,14,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,,,,,7057890.0,5.5,168.0,1947528.0,3989982.0,3.0,179.0,642178,,,510395.0,4.0,857646.0,84.0,11/23/2019,yamaha,Leuschke-Rice,Agadez,1789.0,80410.0,60.0,3/8/2020,yamaha,King-Brakus,MacArthur,8644.0,16774.0,48.0,3/9/2020,honda,"Klein, Graham and Beatty",Leixlip,2483.0,,,,,,,,,,713860.0,27.0,1/11/2020,956852.0,travel,184531.0,69.0,4/10/2019,2580.0,other electronics,Lind-Block,Mogok,samsung,,,,,10/21/2019,125526.0,32.0,tech,travel,8/15/2019,518279.0,86.0,others,food,6/20/2019,413072.0,62.0,11/19/2019,657514.0,100.0,,,,3/16/2019,766576.0,34.0,domestic,94035.0,Permanent Total Disability Coverage,2.0,Delayed Lost Baggage Coverage,1053667.0,1.0,4.0,1.0,1765352.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000286,191,5:00,verizon.net',Vitim,2020-01-15,4,33,0,0,9,Affiliates,linkedin.com,UC browser,laptop,lenovo,error: Field 'devicedevicecategory' not found,accounts,9,306-982-7527,silver,male,3,77076.8,married,car,yes,own,no,unskilled_labour,408,95,96,72,9,0,Colorado Springs,58,business,temporary,gold,6/20/2019,78482,61531,41228,37713,59607,54426,17826,53753,35056,59719,81710,25457,1,9,6,9,7,4,1,3,7,8,3,8,20321,hospital,leisure,1778073,78,1,1,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,1,2959283.0,5.5,77.0,1394704.0,8341056.0,2.5,55.0,1788481.0,,,,1345018,1688874.0,3.0,8310378.0,6.0,334363.0,60.0,3/19/2019,yamaha,Jacobson-Goyette,Etten-Leur,7875.0,752106.0,37.0,5/15/2019,suzuki,Krajcik Inc,Hekou,6820.0,37384.0,38.0,11/15/2019,tata,Koepp Group,Celso Ramos,52.0,776382.0,36.0,7/14/2019,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8/13/2019,871844.0,98.0,hobby,food,10/7/2019,930241.0,37.0,1/14/2020,72256.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,Electronic Equipment Coverage,55552.0,Permanent Total Disability Coverage,3.0,type5,603742.0,11.0,Motorbike,1786096.0,,,,,,,,,Personal Accident cover,44498.0,Critical illness cover,3.0,type1,6269672.0,12.0,2.0,2.0,2423025.0
1000262,551,20:31,verizon.net',Kanshi,2020-02-25,4,73,1,1,7,Direct,linkedin.com,brave,tablet,apple,error: Field 'devicedevicecategory' not found,insurance,3,343-705-5557,gold,female,2,25724.13,unmarried,car,no,rented,no,teacher,578,84,94,32,11,0,Zgornje Pirniče,57,employed,temporary,standard,4/27/2019,94292,25877,44393,11731,42531,92842,44189,78945,48653,39423,94612,14028,6,6,5,9,2,6,6,1,9,7,8,5,24155,others,leisure,3129698,43,0,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,,,,,1778247.0,4.5,115.0,1283802.0,,,,326104,5541394.0,5.5,,,946924.0,68.0,5/31/2019,suzuki,Hammes and Sons,Penghu,3340.0,,,,,,,,,,,,,,,,,,,,,,,,469126.0,85.0,3/2/2020,844838.0,travel,976472.0,69.0,10/28/2019,7068.0,laptops,Fay-Herzog,â€˜AlÄqahdÄrÄ« KirÄn wa MunjÄn,redmi,,,,,,,,,,8/15/2019,854634.0,20.0,leisure,others,6/20/2019,569230.0,79.0,8/6/2019,714062.0,24.0,6/14/2019,458608.0,50.0,7/24/2019,326830.0,8.0,,,,,,,,,,,Ancillary Deductible Coverage,142392.0,Accident Coverage,3.0,Basic Deductible Coverage Open Content Coverage,9791381.0,4.0,Villa,5128170.0,,,,,,,,,,,,,,,,,,Hospital cash,118689.0,Maternity Cover,8.0,type4,5838233.0,4.0,1.0,2.0,6247810.0
1000062,417,1:47,cox.net',Barra de São Francisco,2020-01-11,3,70,0,1,9,Display,google.com,brave,laptop,lenovo,error: Field 'devicedevicecategory' not found,deposits,4,927-254-9930,gold,female,3,35253.49,unmarried,car,yes,rented,no,politician,533,22,68,35,7,0,Stende,58,business,permanent,standard,5/19/2019,99296,29820,67605,94732,39861,48490,74937,26247,44317,66476,21693,30595,1,2,4,2,10,9,6,10,10,3,3,6,24395,leisure,others,9360867,80,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,,,,,9303122.0,1.5,52.0,556293.0,4581014.0,1.5,85.0,69162,3514258.0,3.0,575603.0,1.5,,,,,,,,548434.0,24.0,8/1/2019,suzuki,"Windler, Wehner and Dickens",NamysÅ‚Ã³w,3876.0,,,,,,,,,,,,848490.0,26.0,12/19/2019,6991.0,electronics,,,,,,,,,,,,,,761357.0,82.0,4/15/2019,6569.0,,,,,,,,,,,,,,,,,12/27/2019,647944.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Critical illness cover,91903.0,Personal Accident cover,2.0,type1,541436.0,8.0,2.0,1.0,8997246.0
1000213,458,5:05,hinet.net',Thika,2020-02-07,3,94,1,0,7,Display,linkedin.com,safari,tablet,apple,error: Field 'devicedevicecategory' not found,accounts,3,839-944-5507,silver,male,1,97551.78,married,car,no,rented,yes,doctor,428,67,47,86,2,1,Martinópolis,45,employed,temporary,standard,4/25/2019,95589,88118,23618,17744,17265,35612,56262,52200,31960,81681,25259,94837,2,5,10,1,9,9,8,1,3,9,1,3,24420,hobby,tech,5166645,13,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,9767457.0,1.0,91.0,1612806.0,7016207.0,1.0,142.0,1476797.0,8705492.0,3.0,35.0,246854,691220.0,3.5,5345720.0,5.0,920123.0,90.0,5/7/2019,suzuki,"Herman, Fahey and Schulist",Francisco BeltrÃ£o,9574.0,,,,,,,,,,,,,,,192221.0,42.0,8/19/2019,70.0,589567.0,46.0,5/24/2019,5906.0,travel,181163.0,23.0,8/24/2019,181302.0,food,378517.0,95.0,8/8/2019,2631.0,mobile,Waelchi-Stoltenberg,Iwamizawa,apple,,,,,,,,,,,,,,,,,,,,,12/5/2019,339043.0,77.0,,,,,,,,,,,,,,Accident Coverage,451821.0,Alternative Accommodation Coverage,4.0,Domestic help Coverage,9938200.0,2.0,Villa,7802180.0,,,,,,,,,,Medical Coverage,11019.0,Personal Accident Coverage,4.0,type2,364896.0,3.0,400079.0,Maternity Cover,99762.0,Personal Accident cover,9.0,type1,5424060.0,11.0,3.0,2.0,596238.0
1000195,492,0:58,att.net',Mykolayiv,2020-01-30,5,65,1,0,7,Refferal,youtube.com,chromium,mobile,lenovo,error: Field 'devicedevicecategory' not found,accounts,6,731-223-0632,gold,male,2,48492.47,married,bike,yes,rented,no,plumber,455,60,1,23,8,1,Yinjiaxi,36,employed,temporary,gold,4/18/2019,11045,52052,25152,39147,61780,69200,22478,90708,57974,64181,94169,87663,7,10,4,6,8,3,3,7,5,1,4,5,21909,food,hospital,5212141,12,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1,0,,,,,,,,,,,,38911,74763.0,4.5,,,,,,,,,,,,,,,,,44322.0,26.0,8/8/2019,maruti,Purdy-Kuhn,Catalina,9451.0,157415.0,96.0,2/20/2020,32.0,66205.0,73.0,10/26/2019,1032.0,hospital,856974.0,47.0,10/21/2019,154513.0,IT,316877.0,22.0,2/2/2020,5451.0,other electronics,Padberg and Sons,Licuan,huwaei,,,,,7/24/2019,491746.0,4.0,food,others,11/20/2019,774573.0,50.0,others,hobby,,,,,,,2/18/2020,584981.0,17.0,,,,international,72013.0,Countries Prohibited Coverage,1.0,Hotel Cancellation Coverage,2810494.0,9.0,3.0,1.0,2814363.0,,,,,,,,,,Fire Coverage,10929.0,Permanent Partial Disability Coverage,3.0,type1,820963.0,12.0,Motorbike,8748955.0,,32055.0,,7.0,type1,289163.0,5.0,222697.0,,,,,,,,,,
1000063,14,17:26,comcastbusiness.net',Içara,2020-01-14,2,92,1,1,9,Affiliates,facebook.com,firefox,tablet,lenovo,error: Field 'devicedevicecategory' not found,loan,9,994-907-2761,silver,male,2,79214.11,unmarried,car,yes,own,yes,driver,838,43,92,96,10,1,Helin,27,employed,temporary,standard,5/18/2019,31914,87742,50109,27697,87486,85630,35365,70638,45665,56083,98046,70324,3,6,8,7,1,4,1,1,9,7,8,5,24336,food,hobby,6956119,58,1,1,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,0,1,0,863642.0,1.0,15.0,1797154.0,9027191.0,5.5,199.0,607910.0,,,,600863,9493435.0,2.5,5315783.0,4.0,,,,,,,,,,,,,,,52507.0,83.0,2/20/2020,maruti,Powlowski-Heidenreich,BarÃ£o de Cocais,6813.0,782038.0,17.0,7/26/2019,85.0,,,,,,732634.0,98.0,12/8/2019,896763.0,food,313074.0,45.0,8/6/2019,6613.0,other electronics,Hoeger and Sons,Quetta,huwaei,986460.0,68.0,7/21/2019,1740.0,3/13/2020,225852.0,41.0,hobby,others,11/16/2019,888815.0,14.0,hobby,hobby,,,,,,,,,,,,,international,28616.0,Legal Expense Coverage,3.0,Piste Closure Coverage,2073242.0,4.0,3.0,1.0,4172843.0,Accident Coverage,671552.0,Basic Deductible Coverage Open Content Coverage,1.0,Ancillary Deductible Coverage,8113118.0,8.0,Villa,6390590.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000181,500,10:47,comcastbusiness.net',Taihe,2020-01-07,3,24,0,0,7,Display,google.com,edge,mobile,apple,error: Field 'devicedevicecategory' not found,deposits,9,101-645-1544,gold,female,1,44315.07,married,car,no,rented,yes,engineer,541,14,76,52,14,1,San Fernando,36,employed,temporary,standard,6/26/2019,79875,72777,53391,84422,39748,10757,99229,90153,40122,16579,64115,15209,4,8,10,4,9,6,7,2,8,2,3,1,26129,hospital,others,2487886,22,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,1,0,712255.0,4.0,134.0,922003.0,6715444.0,6.0,126.0,1235905.0,,,,255887,,,153929.0,2.5,222146.0,52.0,1/4/2020,duke,"Klocko, Green and Kertzmann",Tsarychanka,1737.0,,,,,,,,88147.0,77.0,3/6/2020,maruti,Gleason and Sons,Las Animas,5667.0,,,,,,,,,,142370.0,46.0,10/24/2019,229122.0,trade,783312.0,53.0,9/21/2019,1923.0,laptops,"Nader, Wolff and Little",Datong,samsung,652005.0,64.0,11/11/2019,6161.0,,,,,,7/15/2019,302736.0,30.0,food,tech,,,,,,,,,,,,,domestic,94288.0,Delayed Flight Cancellation Coverage,1.0,,1829303.0,4.0,4.0,2.0,3515848.0,Legal Expense Coverage Living Away Coverage,289889.0,Accident Coverage,4.0,Basic Deductible Coverage Open Content Coverage,1721185.0,8.0,Apartment,9131554.0,,,,,,,,,,Legal Expense Coverage Living Expense Coverage,35983.0,Accidental Death Coverage,9.0,type5,365560.0,9.0,253183.0,,,,,,,,,,
